timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value,aqi_category,binary_label,calibration_factor
01/01/2023 00:00,23.89244813,90.39365588,2.8,2.42,54.3,10,31,29,41.6,2.3,120.2,11,Good,Safe,0.978396027
01/01/2023 01:00,23.81513881,90.37910206,36.9,3.38,51.7,6.2,57.5,23.9,42.7,1.1,51.2,104,Unhealthy for Sensitive Groups,Harmful,1.010800165
01/01/2023 02:00,23.84248121,90.41739935,38.3,2.52,74.1,16.4,188.9,30.2,52.4,1.9,101.5,108,Unhealthy for Sensitive Groups,Harmful,0.951335956
01/01/2023 03:00,23.80816921,90.41435718,30.8,2.25,89.4,21.8,166.1,37.2,46.2,2.4,323.7,90,Moderate,Safe,1.040067278
01/01/2023 04:00,23.84863161,90.37017366,10.9,0.95,77.3,8.7,85.6,23.1,54,3.9,57.4,45,Good,Safe,0.933461408
01/01/2023 05:00,23.73056608,90.37679704,31.6,1.99,128.9,18.5,82,23.1,60.7,2.4,118.5,92,Moderate,Safe,1.09557448
01/01/2023 06:00,23.74431979,90.4486347,51.6,1.5,118.5,9.1,67.8,37.6,81.7,1.5,167.3,141,Unhealthy for Sensitive Groups,Harmful,1.013506389
01/01/2023 07:00,23.87074794,90.36044934,15.1,1.56,192.4,3.5,86,31.1,58.6,4.4,305,57,Moderate,Safe,0.913824126
01/01/2023 08:00,23.71093031,90.4193502,28.8,2.84,133.5,18.7,72.3,21.2,33.3,2.5,337.6,86,Moderate,Safe,1.038571586
01/01/2023 09:00,23.79127078,90.40164203,20,3.67,97.9,50.3,54.1,29.3,87.8,1.6,153.3,68,Moderate,Safe,0.919539657
01/01/2023 10:00,23.7381808,90.35781472,63.9,1.03,87,4.8,46.6,21.3,48.3,4,335.5,155,Unhealthy,Harmful,1.029285239
01/01/2023 11:00,23.81385456,90.35594341,31.7,0.58,29,14.9,16,21.3,63.8,2.9,58.1,92,Moderate,Safe,0.959057319
01/01/2023 12:00,23.79312152,90.43016451,28.1,1.2,33,32.9,18.4,26.9,73.9,3.7,56.5,85,Moderate,Safe,1.113240263
01/01/2023 13:00,23.84768668,90.41174484,2.5,1.1,25.1,11.2,11.2,9.7,69,5.5,341.7,10,Good,Safe,0.996469462
01/01/2023 14:00,23.76170318,90.35446672,10.4,1.63,8.5,4,16.1,11.2,86.9,0.9,183.5,43,Good,Safe,0.892014315
01/01/2023 15:00,23.78427454,90.37880053,7.2,2.3,21.5,13,24,20.5,74.6,10.9,66.9,30,Good,Safe,0.990807551
01/01/2023 16:00,23.74688322,90.37587395,8.8,0.34,6.6,35.9,14,16.9,47.8,3.4,175.7,37,Good,Safe,0.950276652
01/01/2023 17:00,23.72056496,90.40612396,3.1,0.8,9.4,7.4,36.5,27.5,95,0.8,282,13,Good,Safe,1.07269258
01/01/2023 18:00,23.74535705,90.37413247,3.3,0.67,7.8,14.9,36.8,17.7,68.9,6,297.7,14,Good,Safe,1.015812664
01/01/2023 19:00,23.87968738,90.42946902,9.2,3.47,11.1,6.5,29.3,13.7,62.1,1.4,311,38,Good,Safe,0.978614325
01/01/2023 20:00,23.79670546,90.37380989,26.5,0.97,7.2,9.9,30.2,36.7,84.3,7.6,205,81,Moderate,Safe,1.020910626
01/01/2023 21:00,23.80751223,90.39509192,7.4,0.97,29.2,16.8,74.2,23.2,70,0.9,312.1,31,Good,Safe,1.043137525
01/01/2023 22:00,23.84816657,90.39220574,9.2,1.99,21.5,15,65.5,25.5,73,2.3,183.6,38,Good,Safe,1.039484317
01/01/2023 23:00,23.87284812,90.35715191,54.2,1.01,100.7,10.2,72.8,13.6,95,4.4,218.5,147,Unhealthy for Sensitive Groups,Harmful,0.888127296
01/02/2023 00:00,23.70462718,90.38895906,12.4,1.29,47.4,13.5,26.2,20.6,59.5,4,273.1,52,Moderate,Safe,1.068227407
01/02/2023 01:00,23.72490702,90.39081027,15.2,5.35,69.5,21.6,56.4,25.9,58.6,3.2,153.2,58,Moderate,Safe,0.908712014
01/02/2023 02:00,23.78547701,90.36455971,16.1,4.31,31.2,19.7,56.1,15.8,67.3,5,26.5,59,Moderate,Safe,1.054446161
01/02/2023 03:00,23.73988978,90.43850188,6.8,0.97,35.4,9.5,85.3,28,86.4,1.7,126.1,28,Good,Safe,0.970022426
01/02/2023 04:00,23.79488982,90.38734255,30.8,1.24,103.9,9.9,109.9,20.2,34.9,5.2,224.6,90,Moderate,Safe,0.982924715
01/02/2023 05:00,23.82294134,90.43481665,13.5,0.93,45.2,49.2,64.1,22.7,25.7,1.4,69.2,54,Moderate,Safe,0.985700527
01/02/2023 06:00,23.79803551,90.40822285,18,0.34,121.9,12.9,108,20.2,53.3,7,53.4,63,Moderate,Safe,1.005012333
01/02/2023 07:00,23.83586984,90.35097299,37.1,2.85,267.7,11,68.7,39.8,32.3,1.5,105.5,105,Unhealthy for Sensitive Groups,Harmful,1.063171779
01/02/2023 08:00,23.70383338,90.41825224,110.5,7.23,135.3,5.1,35.5,24.9,56.5,0.7,11.6,179,Unhealthy,Harmful,1.064950433
01/02/2023 09:00,23.80833864,90.39042446,5.6,1.07,87.9,6.5,27.1,16.5,75,4,267.6,23,Good,Safe,1.009475271
01/02/2023 10:00,23.84398841,90.42318948,40.8,0.75,99.8,7.4,23.4,31.6,47.2,2.8,93.1,114,Unhealthy for Sensitive Groups,Harmful,1.041682995
01/02/2023 11:00,23.89932905,90.4189401,37.9,1.09,38.3,16.7,25.3,15.2,36.5,3.2,44.7,107,Unhealthy for Sensitive Groups,Harmful,0.988611684
01/02/2023 12:00,23.72104224,90.42388956,8.9,1.57,42.9,10.5,26.8,26.7,66.4,1.9,251.7,37,Good,Safe,0.982441417
01/02/2023 13:00,23.70232532,90.41918511,20.8,0.62,19.2,11.9,21.2,9.3,82.3,3.6,303.5,69,Moderate,Safe,1.043226737
01/02/2023 14:00,23.75813816,90.35205163,38,1.04,11.2,5,31.6,14.4,31.1,6.6,7.2,107,Unhealthy for Sensitive Groups,Harmful,1.051994105
01/02/2023 15:00,23.76575931,90.44650343,6.9,3.43,22.1,32.1,19.2,26.6,81.4,3.1,84.1,29,Good,Safe,0.970447408
01/02/2023 16:00,23.86163696,90.39635589,12.8,1.18,30.5,5.9,45.9,30.9,81.3,0.6,340.3,52,Moderate,Safe,1.081487505
01/02/2023 17:00,23.75031814,90.43912395,13.6,2.95,6.5,16.5,11.3,26.4,84.1,2.5,138.7,54,Moderate,Safe,1.066104061
01/02/2023 18:00,23.74925561,90.36648482,17.2,1.58,27.8,8.7,9.3,24.1,89.4,3.5,337.9,62,Moderate,Safe,0.911637949
01/02/2023 19:00,23.87408806,90.38571521,15.4,0.58,25.8,10.8,52.1,22.6,95,7.4,98.7,58,Moderate,Safe,0.957800668
01/02/2023 20:00,23.78582858,90.44738826,10.7,1.03,18.9,7.2,52,13.2,57.9,4.2,78.5,44,Good,Safe,0.968243585
01/02/2023 21:00,23.83159274,90.4375109,17.5,1.18,21.5,15,69,19.2,67.2,1.2,77.1,62,Moderate,Safe,0.981693828
01/02/2023 22:00,23.74160781,90.42975375,4.7,0.64,23,6.6,66.7,21.3,56.7,2.4,30.7,20,Good,Safe,0.945633942
01/02/2023 23:00,23.82043119,90.37902153,17.6,0.48,32.9,14.9,57.9,33.5,65,4.4,322.7,62,Moderate,Safe,0.992114589
01/03/2023 00:00,23.87890698,90.42052365,9.5,0.59,37.4,13.2,45,27.7,95,3.6,352.7,40,Good,Safe,1.010458706
01/03/2023 01:00,23.84627204,90.3741144,5.8,1.99,50.2,18.9,30.9,10.9,38.1,3.8,343.6,24,Good,Safe,1.086361582
01/03/2023 02:00,23.72790862,90.4171351,13.6,1.14,60,24,73.8,27.6,47.8,0.7,306.7,54,Moderate,Safe,1.053800597
01/03/2023 03:00,23.72632978,90.44671519,,,,,,21.9,92.5,4,304.9,70,Moderate,Safe,1.118668976
01/03/2023 04:00,23.72036821,90.38498917,25,0.71,94.7,12,226,19.6,85.4,3,238,78,Moderate,Safe,0.93517196
01/03/2023 05:00,23.88380215,90.39883513,8,0.19,78.7,8,43.5,29.9,57.7,4.1,297.4,33,Good,Safe,1.006514167
01/03/2023 06:00,23.82195561,90.38996019,14.1,1.51,94.5,33.2,70.4,33.2,82.1,2.8,75,55,Moderate,Safe,0.992892045
01/03/2023 07:00,23.70347665,90.35997136,49.3,4.41,67.4,8.6,148,32.5,71.8,2.2,139.6,135,Unhealthy for Sensitive Groups,Harmful,0.993706221
01/03/2023 08:00,23.86771633,90.44510045,29.1,1.44,51.2,9.1,38,18.3,95,5.3,230.7,87,Moderate,Safe,0.971238048
01/03/2023 09:00,23.76530587,90.38869731,41.5,0.57,120,9.9,42.6,22.5,66.5,3.5,314.9,116,Unhealthy for Sensitive Groups,Harmful,0.977776049
01/03/2023 10:00,23.83525178,90.44606932,64,0.43,52.5,6.1,11.5,27.7,85.5,0.9,237.8,155,Unhealthy,Harmful,0.98011795
01/03/2023 11:00,23.8703714,90.42201647,27.3,3.25,52.4,54.5,19.7,32.8,95,2.7,302,83,Moderate,Safe,1.036652032
01/03/2023 12:00,23.85077868,90.372123,10.3,0.82,25,16.5,35.6,21.2,77,1.9,170.6,43,Good,Safe,1.016433593
01/03/2023 13:00,23.86432668,90.41074611,16.9,3.39,17.7,13.7,71.7,23.5,66,1.7,258.2,61,Moderate,Safe,0.966175066
01/03/2023 14:00,23.86085199,90.35909599,40.1,2.25,42.9,9,18.5,16.1,79.4,3.6,352.8,112,Unhealthy for Sensitive Groups,Harmful,1.046963742
01/03/2023 15:00,23.7298228,90.36956378,106.7,0.95,18.1,21,26,15.4,57.7,2.8,55.3,177,Unhealthy,Harmful,0.922317695
01/03/2023 16:00,23.77753239,90.36063744,13.5,3.59,13,8.1,125.7,31.5,95,3.6,333.7,54,Moderate,Safe,1.040646825
01/03/2023 17:00,23.88286237,90.35648334,14.3,0.82,14.7,12.9,33.6,35.8,68.6,4.8,188.1,56,Moderate,Safe,1.02485686
01/03/2023 18:00,23.71875605,90.41186766,19.4,0.58,13,59.3,40.2,24.4,59.5,2.3,231.6,66,Moderate,Safe,0.949489591
